field,source_module,source_function,legacy_or_phase3,used_by_phase4,affects_review,affects_fail,notes
final_risk_score,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Multi-agent weighted percentile-ranked score (0-100); excluded from Phase 4 MongoDB query projection."
priority_rank,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Dense integer portfolio priority rank; excluded from Phase 4 projection and ignored by evaluator."
risk_tier,model/agents/coordinator.py,AgentCoordinator._tier,LEGACY_ONLY,False,False,False,"Portfolio-relative tier ('High Risk - Review', 'Medium Risk - Monitor', 'Low Risk'); excluded from Phase 4 projection."
recommended_action,model/agents/coordinator.py,AgentCoordinator._action,LEGACY_ONLY,False,False,False,"Static text action directive mapped from legacy flags; independent of Phase 3 statutory rule outcomes."
rule_flags_triggered,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"List of boolean agent flag strings stored in MongoDB; completely bypassed by Phase 3 rule evaluator."
rule_flag_count,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Integer length of rule_flags_triggered list; not accessed by Phase 3 evaluator or Phase 4 scanner."
likelihood_score,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Weighted sum of specialist agent scores [0, 1]; legacy mathematical artifact ignored by Phase 3."
impact_score,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Percentile rank of sanction_amount [0, 1]; legacy mathematical artifact ignored by Phase 3."
weighted_rule_score,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Legacy alias for likelihood_score; preserved only for backward compatibility."
anomaly_percentile,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Maximum agent score percentile rank; not used in Phase 3 rules or Phase 4 scanner."
is_anomaly,model/agents/coordinator.py,AgentCoordinator.coordinate,LEGACY_ONLY,False,False,False,"Boolean weighted consensus flag (> 0.40); legacy anomaly indicator ignored by statutory evaluator."
completed_without_image,model/agents/compliance_agent.py,ComplianceAgent.evaluate,LEGACY_ONLY,False,False,False,"Legacy agent boolean flag; reclassified in Phase 3 as an evidence gap (MPLADS23-MON-003 UNKNOWN)."
duplicate_description,model/agents/features.py,features._detect_description_duplicates,LEGACY_ONLY,False,False,False,"Legacy pairwise text similarity boolean; not consumed by Phase 3 evaluator or Phase 4 REVIEW queue."
